"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","20","5049","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","20","4","4","1","3.814607","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","20","6","6","1","7.071664","0","7"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","20","3","3","1","3.992834","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","20","3","3","1","3.834164","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","20","17","18","1","22.514456","0","19"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","20","6","6","1","6.667143","0","9"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","20","5","1","1","5.768007","0","16"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","20","4","1","1","5.249106","0","13"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","20","28","1","1","39.028202","0","409"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","20","7","1","1","7.545142","0","23"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","20","10","1","1","11.448115","0","51"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","20","3","1","1","3.853984","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","20","26","7","1","33.144951","0","321"
"/Engine/VREditor/TransformGizmo/Xray.Xray","20","14","2","1","17.669374","0","91"
"/Engine/VREditor/TransformGizmo/Main.Main","20","3","3","1","3.879132","0","4"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","20","3","3","1","3.872930","0","5"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","20","43","9","1","47.493084","0","194"
"/Game/MilitaryWeapSilver/FX/Materials/M_Tracer_A.M_Tracer_A","20","10","10","1","11.446117","0","19"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Mud.M_Mud","20","56","1","1","60.864017","0","1609"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Derbis.M_Derbis","20","26","1","1","30.820211","0","376"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Basic_Shape.M_Basic_Shape","20","46","7","1","55.758404","0","981"
"/Game/Realistic_Starter_VFX_Pack_Vol2/DemoRoom/Materials/M_DemoWall.M_DemoWall","20","53","2","1","64.779343","0","1447"
